PopName,Area,Year,YearReg,YearInterval,Sex,Age,AgeInterval,Lexis,RefCode,Access,Deaths,NoteCode1,NoteCode2,NoteCode3,LDB
CHE,0,1876,1876,1,m,37,1,TU,2,O,109,.,.,.,1
CHE,0,1876,1876,1,m,38,1,TL,2,O,126,.,.,.,1
CHE,0,1876,1876,1,m,38,1,TU,2,O,136,.,.,.,1
CHE,0,1876,1876,1,m,39,1,TL,2,O,107,.,.,.,1
CHE,0,1876,1876,1,m,39,1,TU,2,O,131,.,.,.,1
CHE,0,1876,1876,1,m,40,1,TL,2,O,120,.,.,.,1
CHE,0,1876,1876,1,m,40,1,TU,2,O,107,.,.,.,1
CHE,0,1876,1876,1,m,41,1,TL,2,O,123,.,.,.,1
CHE,0,1876,1876,1,m,41,1,TU,2,O,136,.,.,.,1
CHE,0,1876,1876,1,m,42,1,TL,2,O,115,.,.,.,1
CHE,0,1876,1876,1,m,42,1,TU,2,O,133,.,.,.,1
CHE,0,1876,1876,1,m,43,1,TL,2,O,122,.,.,.,1
CHE,0,1876,1876,1,m,43,1,TU,2,O,114,.,.,.,1
CHE,0,1876,1876,1,m,44,1,TL,2,O,125,.,.,.,1
CHE,0,1876,1876,1,m,44,1,TU,2,O,164,.,.,.,1
CHE,0,1876,1876,1,m,45,1,TL,2,O,116,.,.,.,1
CHE,0,1876,1876,1,m,45,1,TU,2,O,139,.,.,.,1
CHE,0,1876,1876,1,m,46,1,TL,2,O,133,.,.,.,1
CHE,0,1876,1876,1,m,46,1,TU,2,O,152,.,.,.,1
CHE,0,1876,1876,1,m,47,1,TL,2,O,143,.,.,.,1
CHE,0,1876,1876,1,m,47,1,TU,2,O,165,.,.,.,1
CHE,0,1876,1876,1,m,48,1,TL,2,O,137,.,.,.,1
CHE,0,1876,1876,1,m,48,1,TU,2,O,157,.,.,.,1
CHE,0,1876,1876,1,m,49,1,TL,2,O,157,.,.,.,1
CHE,0,1876,1876,1,m,49,1,TU,2,O,170,.,.,.,1
CHE,0,1876,1876,1,m,50,1,TL,2,O,155,.,.,.,1
CHE,0,1876,1876,1,m,50,1,TU,2,O,181,.,.,.,1
CHE,0,1876,1876,1,m,51,1,TL,2,O,140,.,.,.,1
CHE,0,1876,1876,1,m,51,1,TU,2,O,192,.,.,.,1
CHE,0,1876,1876,1,m,52,1,TL,2,O,170,.,.,.,1
CHE,0,1876,1876,1,m,52,1,TU,2,O,178,.,.,.,1
CHE,0,1876,1876,1,m,53,1,TL,2,O,155,.,.,.,1
CHE,0,1876,1876,1,m,53,1,TU,2,O,188,.,.,.,1
CHE,0,1876,1876,1,m,54,1,TL,2,O,144,.,.,.,1
CHE,0,1876,1876,1,m,54,1,TU,2,O,195,.,.,.,1
CHE,0,1876,1876,1,m,55,1,TL,2,O,168,.,.,.,1
CHE,0,1876,1876,1,m,55,1,TU,2,O,209,.,.,.,1
CHE,0,1876,1876,1,m,56,1,TL,2,O,195,.,.,.,1
CHE,0,1876,1876,1,m,56,1,TU,2,O,215,.,.,.,1
CHE,0,1876,1876,1,m,57,1,TL,2,O,228,.,.,.,1
CHE,0,1876,1876,1,m,57,1,TU,2,O,193,.,.,.,1
CHE,0,1876,1876,1,m,58,1,TL,2,O,128,.,.,.,1
CHE,0,1876,1876,1,m,58,1,TU,2,O,163,.,.,.,1
CHE,0,1876,1876,1,m,59,1,TL,2,O,170,.,.,.,1
CHE,0,1876,1876,1,m,59,1,TU,2,O,224,.,.,.,1
CHE,0,1876,1876,1,m,60,1,TL,2,O,194,.,.,.,1
CHE,0,1876,1876,1,m,60,1,TU,2,O,189,.,.,.,1
CHE,0,1876,1876,1,m,61,1,TL,2,O,211,.,.,.,1
CHE,0,1876,1876,1,m,61,1,TU,2,O,238,.,.,.,1
CHE,0,1876,1876,1,m,62,1,TL,2,O,214,.,.,.,1
CHE,0,1876,1876,1,m,62,1,TU,2,O,222,.,.,.,1
CHE,0,1876,1876,1,m,63,1,TL,2,O,164,.,.,.,1
CHE,0,1876,1876,1,m,63,1,TU,2,O,256,.,.,.,1
CHE,0,1876,1876,1,m,64,1,TL,2,O,231,.,.,.,1
CHE,0,1876,1876,1,m,64,1,TU,2,O,239,.,.,.,1
CHE,0,1876,1876,1,m,65,1,TL,2,O,204,.,.,.,1
CHE,0,1876,1876,1,m,65,1,TU,2,O,239,.,.,.,1
CHE,0,1876,1876,1,m,66,1,TL,2,O,214,.,.,.,1
CHE,0,1876,1876,1,m,66,1,TU,2,O,234,.,.,.,1
CHE,0,1876,1876,1,m,67,1,TL,2,O,218,.,.,.,1
CHE,0,1876,1876,1,m,67,1,TU,2,O,242,.,.,.,1
CHE,0,1876,1876,1,m,68,1,TL,2,O,228,.,.,.,1
CHE,0,1876,1876,1,m,68,1,TU,2,O,242,.,.,.,1
CHE,0,1876,1876,1,m,69,1,TL,2,O,227,.,.,.,1
CHE,0,1876,1876,1,m,69,1,TU,2,O,232,.,.,.,1
CHE,0,1876,1876,1,m,70,1,TL,2,O,230,.,.,.,1
CHE,0,1876,1876,1,m,70,1,TU,2,O,257,.,.,.,1
CHE,0,1876,1876,1,m,71,1,TL,2,O,214,.,.,.,1
CHE,0,1876,1876,1,m,71,1,TU,2,O,242,.,.,.,1
CHE,0,1876,1876,1,m,72,1,TL,2,O,239,.,.,.,1
CHE,0,1876,1876,1,m,72,1,TU,2,O,284,.,.,.,1
CHE,0,1876,1876,1,m,73,1,TL,2,O,235,.,.,.,1
CHE,0,1876,1876,1,m,73,1,TU,2,O,247,.,.,.,1
CHE,0,1876,1876,1,m,74,1,TL,2,O,227,.,.,.,1
CHE,0,1876,1876,1,m,74,1,TU,2,O,258,.,.,.,1
CHE,0,1876,1876,1,m,75,1,TL,2,O,199,.,.,.,1
CHE,0,1876,1876,1,m,75,1,TU,2,O,213,.,.,.,1
CHE,0,1876,1876,1,m,76,1,TL,2,O,173,.,.,.,1
CHE,0,1876,1876,1,m,76,1,TU,2,O,203,.,.,.,1
CHE,0,1876,1876,1,m,77,1,TL,2,O,173,.,.,.,1
CHE,0,1876,1876,1,m,77,1,TU,2,O,188,.,.,.,1
CHE,0,1876,1876,1,m,78,1,TL,2,O,142,.,.,.,1
CHE,0,1876,1876,1,m,78,1,TU,2,O,170,.,.,.,1
CHE,0,1876,1876,1,m,79,1,TL,2,O,152,.,.,.,1
CHE,0,1876,1876,1,m,79,1,TU,2,O,145,.,.,.,1
CHE,0,1876,1876,1,m,80,1,TL,2,O,152,.,.,.,1
CHE,0,1876,1876,1,m,80,1,TU,2,O,104,.,.,.,1
CHE,0,1876,1876,1,m,81,1,TL,2,O,100,.,.,.,1
CHE,0,1876,1876,1,m,81,1,TU,2,O,93,.,.,.,1
CHE,0,1876,1876,1,m,82,1,TL,2,O,93,.,.,.,1
CHE,0,1876,1876,1,m,82,1,TU,2,O,96,.,.,.,1
CHE,0,1876,1876,1,m,83,1,TL,2,O,85,.,.,.,1
CHE,0,1876,1876,1,m,83,1,TU,2,O,78,.,.,.,1
